"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F1.1"	"F1.2"	"F2.1"	"F2.2"
"B11"	1984	10	26	71.233333	39.2	37	7.5	15	6.1	14.8	5.806	5.96002	7.80573494321281	71.2605711515679	39.2279969993274	71.2605494475966	39.1719966635187
"G08"	1985	4	27	71.116667	40.85	103	7.5	15	5.5	12.8	4.866	5.33022	2.86980111505619	71.133270106597	40.8470992098257	71.1332715597779	40.8528984095481
"C11"	1985	8	23	75.483333	39.433333	308	7	20	5	16.5	6.605	6.61895	22.236964359459	75.381340735677	39.4947800756478	75.5851453849473	39.371797011553
"A09"	1985	10	13	69.8	40.3	48	8	10	5.8	14.8	5.806	5.96002	7.80573494321281	69.8341743786363	40.323454699937	69.834150653564	40.2765352521493
"B09"	1987	3	26	69.95	41.816667	203	6.5	5	5.2	13.1	5.007	5.42469	3.33454129426193	69.9421494838743	41.802880029351	69.9578538967849	41.8304534359073
"H03"	1988	3	13	75.466667	42.1	250	6	7	NA	12.6	4.772	5.26724	2.59654348358632	75.451897609332	42.0960102229921	75.4814382489185	42.1039878829285
"A04"	1988	6	17	77.4	42.933333	29	6	21	5.6	12.9	4.913	5.36171	3.0170318852203	77.4089750077104	42.9451848068013	77.4089715538985	42.9214804923588
"C09"	1988	12	21	72.316667	41.233333	270	6	10	NA	12.9	4.913	5.36171	3.0170318852203	72.2986475277764	41.2333315954515	72.3346864722236	41.2333315954515
"B04"	1990	11	12	77.933333	42.933333	211	8	15	6.3	15.3	6.041	6.11747	10.0243056450786	77.9016795015724	42.894734784409	77.9650261958336	42.971922483785
"D09"	1992	5	15	72.416667	41.1	270	8	10	NA	15.3	6.041	6.11747	10.0243056450786	72.3569177183852	41.0999845671566	72.4764162816148	41.0999845671566
"C04"	1992	8	19	73.633333	42.066667	250	9.5	25	7.2	17	6.84	6.8516	32.18133083058	73.4505097100705	42.0170846479969	73.8164412491057	42.1159587445081
