"ID"	"siteLAT"	"siteLON"	"eventLAT"	"eventLON"	"K"	"mag"	"depth"	"Is"	"I0"	"R"	"RExt"	"F11"	"F12"	"F21"	"F22"	"Length"	"MLH"	"MW"	"MWHARV"
"C02"	42.733333	78.366667	42.3	78.4	12.8	4.9	17	4.5	6	48.2618160611714	53.183454523369	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.15	77.6	42.3	78.4	12.8	4.9	17	4.5	6	67.9514121219285	68.5307761622126	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.133333	77.183333	42.3	78.4	12.8	4.9	17	4	6	101.89350071747	102.182178204921	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.683333	77.683333	42.3	78.4	12.8	4.9	17	4	6	72.5925904460848	74.1068349596109	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"D02"	41.433333	75.033333	41.533333	75.033333	13	5.2	25	6	6	11.1194926644781	133.816637017872	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.433333	74.8	41.533333	75.033333	13	5.2	25	6	6	22.3928372223869	34.8675425913109	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.416667	74.85	41.533333	75.033333	13	5.2	25	6	6	20.0394888368905	37.0875005503093	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.416667	75.066667	41.533333	75.033333	13	5.2	25	6	6	13.2665947475543	85.8278704889361	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.433333	75.116667	41.533333	75.033333	13	5.2	25	6	6	13.1084828235899	72.0508020538978	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.616667	75.033333	41.533333	75.033333	13	5.2	25	6	6	9.2663180173695	208.792997791891	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.6	75.183333	41.533333	75.033333	13	5.2	25	6	6	14.5148878514156	53.4085432697084	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.45	74.866667	41.533333	75.033333	13	5.2	25	6	6	16.6902728714523	47.1555173708334	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
"D02"	41.3	74.95	41.533333	75.033333	13	5.2	25	5	6	26.8598802070041	24.123946142292	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929	3.17181610554143	4.96	5.3932	NA
